sentence,translation,translation_extra,messages
Once we stood beside the shore.,"Beside the shore, once we stood.","Beside the shore, once we stood.","[{'content': 'Once we stood beside the shore.', 'role': 'user'}
 {'content': 'Beside the shore, once we stood.', 'role': 'assistant'}
 {'content': 'Beside the shore, once we stood.', 'role': 'assistant'}]"
The gold ring fits only a pierced ear.,"Fits only a pierced ear, the gold ring does.","Fits only a pierced ear, the gold ring does.","[{'content': 'The gold ring fits only a pierced ear.', 'role': 'user'}
 {'content': 'Fits only a pierced ear, the gold ring does.', 'role': 'assistant'}
 {'content': 'Fits only a pierced ear, the gold ring does.', 'role': 'assistant'}]"
Fairy tales should be fun to write.,"Fun to write, fairy tales should be.","Hrrmmm. Fun to write, fairy tales should be. Hmm.","[{'content': 'Fairy tales should be fun to write.', 'role': 'user'}
 {'content': 'Fun to write, fairy tales should be.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Fun to write, fairy tales should be. Hmm.', 'role': 'assistant'}]"
Ship maps are different from those for planes.,"Different from those for planes, ship maps are.","Different from those for planes, ship maps are. Hrmmm.","[{'content': 'Ship maps are different from those for planes.', 'role': 'user'}
 {'content': 'Different from those for planes, ship maps are.', 'role': 'assistant'}
 {'content': 'Different from those for planes, ship maps are. Hrmmm.', 'role': 'assistant'}]"
Feed the white mouse some flower seeds.,"Some flower seeds, feed the white mouse, you must.","Some flower seeds, feed the white mouse, you must.","[{'content': 'Feed the white mouse some flower seeds.', 'role': 'user'}
 {'content': 'Some flower seeds, feed the white mouse, you must.', 'role': 'assistant'}
 {'content': 'Some flower seeds, feed the white mouse, you must.', 'role': 'assistant'}]"
A tame squirrel makes a nice pet.,"A nice pet, a tame squirrel makes.","A nice pet, a tame squirrel makes.","[{'content': 'A tame squirrel makes a nice pet.', 'role': 'user'}
 {'content': 'A nice pet, a tame squirrel makes.', 'role': 'assistant'}
 {'content': 'A nice pet, a tame squirrel makes.', 'role': 'assistant'}]"
Yell and clap as the curtain slides back.,"As the curtain slides back, yell and clap, you must.","As the curtain slides back, yell and clap, you must.","[{'content': 'Yell and clap as the curtain slides back.', 'role': 'user'}
 {'content': 'As the curtain slides back, yell and clap, you must.', 'role': 'assistant'}
 {'content': 'As the curtain slides back, yell and clap, you must.', 'role': 'assistant'}]"
The cloud moved in a stately way and was gone.,"In a stately way, the cloud moved and was gone.","In a stately way, the cloud moved and was gone. Yrsssss.","[{'content': 'The cloud moved in a stately way and was gone.', 'role': 'user'}
 {'content': 'In a stately way, the cloud moved and was gone.', 'role': 'assistant'}
 {'content': 'In a stately way, the cloud moved and was gone. Yrsssss.', 'role': 'assistant'}]"
The vamp of the shoe had a gold buckle.,"Had a gold buckle, the vamp of the shoe did.","Had a gold buckle, the vamp of the shoe did.","[{'content': 'The vamp of the shoe had a gold buckle.', 'role': 'user'}
 {'content': 'Had a gold buckle, the vamp of the shoe did.', 'role': 'assistant'}
 {'content': 'Had a gold buckle, the vamp of the shoe did.', 'role': 'assistant'}]"
The sheep were led home by a dog.,"Led home by a dog, the sheep were.","Led home by a dog, the sheep were.","[{'content': 'The sheep were led home by a dog.', 'role': 'user'}
 {'content': 'Led home by a dog, the sheep were.', 'role': 'assistant'}
 {'content': 'Led home by a dog, the sheep were.', 'role': 'assistant'}]"
A lathe cuts and trims any wood.,"Cuts and trims any wood, a lathe does.","Cuts and trims any wood, a lathe does. Hrmmm.","[{'content': 'A lathe cuts and trims any wood.', 'role': 'user'}
 {'content': 'Cuts and trims any wood, a lathe does.', 'role': 'assistant'}
 {'content': 'Cuts and trims any wood, a lathe does. Hrmmm.', 'role': 'assistant'}]"
Wood is best for making toys and blocks.,"For making toys and blocks, wood best is.","For making toys and blocks, wood best is.","[{'content': 'Wood is best for making toys and blocks.', 'role': 'user'}
 {'content': 'For making toys and blocks, wood best is.', 'role': 'assistant'}
 {'content': 'For making toys and blocks, wood best is.', 'role': 'assistant'}]"
Throw out the used paper cup and plate.,"The used paper cup and plate, throw out, you must.","The used paper cup and plate, throw out, you must. Yes, hrrmmm.","[{'content': 'Throw out the used paper cup and plate.', 'role': 'user'}
 {'content': 'The used paper cup and plate, throw out, you must.', 'role': 'assistant'}
 {'content': 'The used paper cup and plate, throw out, you must. Yes, hrrmmm.', 'role': 'assistant'}]"
That guy is the writer of a few banned books.,"Writer of a few banned books, that guy is.","Writer of a few banned books, that guy is. Hmm.","[{'content': 'That guy is the writer of a few banned books.', 'role': 'user'}
 {'content': 'Writer of a few banned books, that guy is.', 'role': 'assistant'}
 {'content': 'Writer of a few banned books, that guy is. Hmm.', 'role': 'assistant'}]"
Boards will warp unless kept dry.,"Unless kept dry, warp, boards will.","Unless kept dry, warp, boards will.","[{'content': 'Boards will warp unless kept dry.', 'role': 'user'}
 {'content': 'Unless kept dry, warp, boards will.', 'role': 'assistant'}
 {'content': 'Unless kept dry, warp, boards will.', 'role': 'assistant'}]"
Even the worst will beat his low score.,"Will beat his low score, even the worst will.","Will beat his low score, even the worst will. Yrsssss.","[{'content': 'Even the worst will beat his low score.', 'role': 'user'}
 {'content': 'Will beat his low score, even the worst will.', 'role': 'assistant'}
 {'content': 'Will beat his low score, even the worst will. Yrsssss.', 'role': 'assistant'}]"
Post no bills on this office wall.,"On this office wall, no bills post.","On this office wall, no bills post. Hrmmm.","[{'content': 'Post no bills on this office wall.', 'role': 'user'}
 {'content': 'On this office wall, no bills post.', 'role': 'assistant'}
 {'content': 'On this office wall, no bills post. Hrmmm.', 'role': 'assistant'}]"
Jerk the dart from the cork target.,"From the cork target, jerk the dart, you must.","From the cork target, jerk the dart, you must. Hrmmm.","[{'content': 'Jerk the dart from the cork target.', 'role': 'user'}
 {'content': 'From the cork target, jerk the dart, you must.', 'role': 'assistant'}
 {'content': 'From the cork target, jerk the dart, you must. Hrmmm.', 'role': 'assistant'}]"
The gloss on top made it unfit to read.,"Made it unfit to read, the gloss on top did.","Hrrmmm. Made it unfit to read, the gloss on top did.","[{'content': 'The gloss on top made it unfit to read.', 'role': 'user'}
 {'content': 'Made it unfit to read, the gloss on top did.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Made it unfit to read, the gloss on top did.', 'role': 'assistant'}]"
We need an end of all such matter.,"An end of all such matter, we need.","An end of all such matter, we need.","[{'content': 'We need an end of all such matter.', 'role': 'user'}
 {'content': 'An end of all such matter, we need.', 'role': 'assistant'}
 {'content': 'An end of all such matter, we need.', 'role': 'assistant'}]"
Better hash is made of rare beef.,"Of rare beef, better hash is made.","Of rare beef, better hash is made. Yrsssss.","[{'content': 'Better hash is made of rare beef.', 'role': 'user'}
 {'content': 'Of rare beef, better hash is made.', 'role': 'assistant'}
 {'content': 'Of rare beef, better hash is made. Yrsssss.', 'role': 'assistant'}]"
The cigar burned a hole in the desk top.,"Burned a hole in the desk top, the cigar did.","Burned a hole in the desk top, the cigar did.","[{'content': 'The cigar burned a hole in the desk top.', 'role': 'user'}
 {'content': 'Burned a hole in the desk top, the cigar did.', 'role': 'assistant'}
 {'content': 'Burned a hole in the desk top, the cigar did.', 'role': 'assistant'}]"
Grape juice and water mix well.,"Mix well, grape juice and water do.","Mix well, grape juice and water do. Hmm.","[{'content': 'Grape juice and water mix well.', 'role': 'user'}
 {'content': 'Mix well, grape juice and water do.', 'role': 'assistant'}
 {'content': 'Mix well, grape juice and water do. Hmm.', 'role': 'assistant'}]"
Dip the pail once and let it settle.,"The pail once dip, and let it settle, you must.","Hrrmmm. The pail once dip, and let it settle, you must.","[{'content': 'Dip the pail once and let it settle.', 'role': 'user'}
 {'content': 'The pail once dip, and let it settle, you must.', 'role': 'assistant'}
 {'content': 'Hrrmmm. The pail once dip, and let it settle, you must.', 'role': 'assistant'}]"
A yacht slid around the point into the bay.,"Around the point into the bay, a yacht slid.","Hrrmmm. Around the point into the bay, a yacht slid.","[{'content': 'A yacht slid around the point into the bay.', 'role': 'user'}
 {'content': 'Around the point into the bay, a yacht slid.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Around the point into the bay, a yacht slid.', 'role': 'assistant'}]"
The houses are built of red clay bricks.,"Built of red clay bricks, the houses are.","Built of red clay bricks, the houses are.","[{'content': 'The houses are built of red clay bricks.', 'role': 'user'}
 {'content': 'Built of red clay bricks, the houses are.', 'role': 'assistant'}
 {'content': 'Built of red clay bricks, the houses are.', 'role': 'assistant'}]"
The young girl gave no clear response.,"No clear response, the young girl gave.","No clear response, the young girl gave.","[{'content': 'The young girl gave no clear response.', 'role': 'user'}
 {'content': 'No clear response, the young girl gave.', 'role': 'assistant'}
 {'content': 'No clear response, the young girl gave.', 'role': 'assistant'}]"
The straw nest housed five robins.,"Housed five robins, the straw nest did.","Housed five robins, the straw nest did. Yes, hrrmmm.","[{'content': 'The straw nest housed five robins.', 'role': 'user'}
 {'content': 'Housed five robins, the straw nest did.', 'role': 'assistant'}
 {'content': 'Housed five robins, the straw nest did. Yes, hrrmmm.', 'role': 'assistant'}]"
After the dance they went straight home.,"After the dance, straight home they went.","After the dance, straight home they went.","[{'content': 'After the dance they went straight home.', 'role': 'user'}
 {'content': 'After the dance, straight home they went.', 'role': 'assistant'}
 {'content': 'After the dance, straight home they went.', 'role': 'assistant'}]"
A saw is a tool used for making boards.,"A tool used for making boards, a saw is.","A tool used for making boards, a saw is.","[{'content': 'A saw is a tool used for making boards.', 'role': 'user'}
 {'content': 'A tool used for making boards, a saw is.', 'role': 'assistant'}
 {'content': 'A tool used for making boards, a saw is.', 'role': 'assistant'}]"
A force equal to that would move the earth.,"Move the earth, a force equal to that would.","Move the earth, a force equal to that would.","[{'content': 'A force equal to that would move the earth.', 'role': 'user'}
 {'content': 'Move the earth, a force equal to that would.', 'role': 'assistant'}
 {'content': 'Move the earth, a force equal to that would.', 'role': 'assistant'}]"
A six comes up more often than a ten.,"More often than a ten, a six comes up.","More often than a ten, a six comes up.","[{'content': 'A six comes up more often than a ten.', 'role': 'user'}
 {'content': 'More often than a ten, a six comes up.', 'role': 'assistant'}
 {'content': 'More often than a ten, a six comes up.', 'role': 'assistant'}]"
The purple tie was ten years old.,"Ten years old, the purple tie was.","Ten years old, the purple tie was.","[{'content': 'The purple tie was ten years old.', 'role': 'user'}
 {'content': 'Ten years old, the purple tie was.', 'role': 'assistant'}
 {'content': 'Ten years old, the purple tie was.', 'role': 'assistant'}]"
A plea for funds seems to come again.,"To come again, a plea for funds seems.","To come again, a plea for funds seems.","[{'content': 'A plea for funds seems to come again.', 'role': 'user'}
 {'content': 'To come again, a plea for funds seems.', 'role': 'assistant'}
 {'content': 'To come again, a plea for funds seems.', 'role': 'assistant'}]"
